Measure Name,Measure ID,National Rate,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date,Number of Hospitals Fewer,Number of Hospitals Average,Number of Hospitals More,Number of Hospitals Too Small
Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,16,31,2174,24,1979,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,21.7,170,3520,127,891,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,16.7,188,4054,61,461,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,4.2,29,2734,44,646,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,15.3,265,4060,184,178,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,19.6,56,3627,18,875,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Rate of readmission for stroke patients,READM_30_STK,11.9,33,2508,7,1796,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Rate of readmission for CABG,READM_30_CABG,13.2,10,1002,8,160,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,14.8,1,3024,0,842,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,253,1396,493,1943
Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,440,2484,766,887
Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,594,2599,982,458
